,,,,"Phase in degrees, ",pt. no.,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,decade points,0,0.08,0.16,0.24,0.32,0.4,0.48,0.56,0.64,0.72,0.8,0.88,0.96,1.04,1.12,1.2,1.28,1.36,1.44,1.52,1.6,1.68,1.76,1.84,1.92,2,2.08,2.16,2.24,2.32,2.4,2.48,2.56,2.64,2.72,2.8,2.88,2.96,3.04,3.12,3.2,3.28,3.36,3.44,3.52,3.6,3.68,3.76,3.84,3.92,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Frequency ,100,120.2264435,144.5439771,173.7800829,208.9296131,251.1886432,301.995172,363.0780548,436.5158322,524.8074602,630.9573445,758.577575,912.0108394,1096.478196,1318.256739,1584.893192,1905.460718,2290.867653,2754.228703,3311.311215,3981.071706,4786.300923,5754.399373,6918.309709,8317.637711,10000,12022.64435,14454.39771,17378.00829,20892.96131,25118.86432,30199.5172,36307.80548,43651.58322,52480.74602,63095.73445,75857.7575,91201.08394,109647.8196,131825.6739,158489.3192,190546.0718,229086.7653,275422.8703,331131.1215,398107.1706,478630.0923,575439.9373,691830.9709,831763.7711,1000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
csv no.,Sr. No.,Sample_no.,Fruit,,Time(min),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E498x002.csv,1,1,Mosambi,Impedance,0,73.8,65.9,59,53,47.8,43.3,39.5,36.3,33.7,31.6,29.9,28.6,27.5,26.7,26,25.5,25.1,24.8,24.6,24.4,24.3,24.1,24,24,23.9,23.9,23.8,23.8,23.8,23.7,23.7,23.7,23.7,23.7,23.7,23.7,23.6,23.6,23.6,23.6,23.6,23.6,23.6,23.6,23.6,23.6,23.6,23.6,23.6,23.7,23.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E498x002.csv,2,1,Mosambi,Phase,0,-58.8,-57.1,-55,-52.5,-49.8,-46.7,-43.4,-39.9,-36.3,-32.7,-29.1,-25.7,-22.6,-19.7,-17.1,-14.7,-12.7,-10.8,-9.28,-7.92,-6.75,-5.75,-4.9,-4.17,-3.54,-3.01,-2.56,-2.17,-1.85,-1.57,-1.33,-1.13,-0.96,-0.81,-0.68,-0.57,-0.48,-0.39,-0.32,-0.25,-0.19,-0.12,-0.06,0,0.06,0.13,0.21,0.29,0.39,0.5,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E498x003.csv,3,1,Mosambi,Impedance,2,77.7,70.2,63.8,58.2,53.4,49.3,45.9,43.1,40.8,38.9,37.4,36.1,35.2,34.4,33.8,33.4,33,32.7,32.4,32.3,32.1,32,31.9,31.8,31.7,31.7,31.6,31.6,31.6,31.5,31.5,31.5,31.5,31.5,31.4,31.4,31.4,31.4,31.4,31.4,31.4,31.4,31.4,31.4,31.4,31.4,31.4,31.4,31.4,31.4,31.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E498x003.csv,4,1,Mosambi,Phase,2,-53.4,-51.1,-48.5,-45.7,-42.7,-39.5,-36.2,-32.9,-29.5,-26.3,-23.3,-20.5,-17.9,-15.5,-13.4,-11.5,-9.93,-8.51,-7.29,-6.23,-5.33,-4.55,-3.88,-3.31,-2.82,-2.41,-2.05,-1.75,-1.5,-1.28,-1.09,-0.94,-0.8,-0.68,-0.59,-0.5,-0.43,-0.37,-0.31,-0.27,-0.22,-0.19,-0.15,-0.12,-0.09,-0.06,-0.03,0,0.04,0.07,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E498x004.csv,5,1,Mosambi,Impedance,4,79.2,71.5,64.8,59.1,54.2,49.9,46.4,43.5,41.1,39.1,37.6,36.3,35.3,34.6,34,33.5,33.1,32.8,32.6,32.4,32.2,32.1,32,31.9,31.9,31.8,31.8,31.7,31.7,31.7,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.6,31.6,31.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E498x004.csv,6,1,Mosambi,Phase,4,-53.8,-51.6,-49,-46.3,-43.3,-40.1,-36.8,-33.4,-30,-26.8,-23.7,-20.8,-18.1,-15.7,-13.6,-11.7,-10,-8.61,-7.36,-6.29,-5.36,-4.57,-3.9,-3.32,-2.83,-2.41,-2.05,-1.75,-1.49,-1.27,-1.08,-0.93,-0.79,-0.68,-0.58,-0.49,-0.42,-0.36,-0.3,-0.26,-0.22,-0.18,-0.14,-0.11,-0.08,-0.05,-0.02,0.01,0.05,0.09,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E498x005.csv,7,1,Mosambi,Impedance,6,79.9,72.1,65.3,59.5,54.5,50.2,46.6,43.7,41.2,39.3,37.7,36.4,35.4,34.6,34,33.5,33.2,32.9,32.6,32.4,32.3,32.2,32.1,32,31.9,31.9,31.8,31.8,31.8,31.7,31.7,31.7,31.7,31.7,31.7,31.7,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.7,31.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
